,0
1553,But I know what this could be
1554,Tearing up my history for you
1555,"I got, I got, I got, I got options"
1556,"You the, you the, you the, you the top one"
1557,"So baby, baby, if it ain't a problem"
1558,Can I get some of your love?
1559,"I got, I got, I got, I got options"
1560,"You the, you the, you the, you the top one"
1561,"So baby, baby, if it ain't a problem"
1562,Can I get some of your love?
1563,"Been around the game, been around the fame"
1564,"Been around the money, been around some names"
1565,"But the chico's still the same, some things never change"
1566,"Here's a tip, show me your friends"
1567,"I'll show you your future, keep the change"
1568,"I've seen 'em come and go, I've seen 'em sell they souls"
1569,"You my number one draft pick, baby, let's pick and roll"
1570,"I always keep you up, up on a pedestal"
1571,"Misery loves company, baby, don't sweat these hoes"
1572,I got a whole lot of names and a whole lot of numbers
1573,But I'll throw them away 'cause I think I might love you
1574,Could be the Mary Jane or the spell that I'm under
1575,But I know what this could be
1576,Tearing up my history for you
1577,"I got, I got, I got, I got options"
1578,"You the, you the, you the, you the top one"
1579,"So baby, baby, if it ain't a problem"
1580,Can I get some of your love?
1581,"I got, I got, I got, I got options"
1582,"You the, you the, you the, you the top one"
1583,"So baby, baby, if it ain't a problem"
1584,Can I get some of your love?
1585,They looking for the perfect man
1586,They looking for the perfect life
1587,They take some perfect pics
1588,They want some perfect dick
1589,"But there ain't nothing perfect, girl"
1590,No such thing as a perfect world
1591,These broads try hard to be
1592,Who they not and not who they are
1593,"Baby, you sweating what? Baby, you sweating who?"
1594,You talking 'bout such and such who tries to be you?
1595,"Man, you JFK, mami, you out your mind"
1596,"Misery loves company, I'll tell you one more time"
1597,I got a whole lot of names and a whole lot of numbers
1598,But I'll throw them away 'cause I think I might love you
1599,Could be the Mary Jane or the spell that I'm under
1600,But I know what this could be
1601,Tearing up my history for you
1602,"I got, I got, I got, I got options"
1603,"You the, you the, you the, you the top one"
1604,"So baby, baby, if it ain't a problem"
1605,Can I get some of your love?
1606,"I got, I got, I got, I got options"
1607,"You the, you the, you the, you the top one"
1608,"So baby, baby, if it ain't a problem"
1609,Can I get some of your love?
1610,"Baby, you know, you know we got a strong thing"
1611,So stop thinking 'bout the wrong things
1612,"You know, you know we got a strong thing"
1613,So stop thinking 'bout the wrong things
1614,"I got, I got, I got, I got options"
1615,"You the, you the, you the, you the top one"
1616,"So baby, baby, if it ain't a problem"
1617,Can I get some of your love?
1618,"I got, I got, I got, I got options"
1619,"You the, you the, you the, you the top one"
1620,"So baby, baby, if it ain't a problem"
1621,Can I get some of your love?
1622,Me not workin' hard? Yeah right
1623,Picture that with a Kodak
1624,"Or, better yet, go to Times Square"
1625,Take a picture of me with a Kodak
1626,Took my life from negative to positive
1627,I just want y'all to know that
1628,"And tonight, let's enjoy life"
1629,"Pitbull, Nayer, Ne-Yo, tell us right"
1630,"Tonight, I want all of you tonight"
1631,Give me everything tonight
1632,"For all we know, we might not get tomorrow"
1633,Let's do it tonight
1634,Don't care what they say
1635,Or what games they play
1636,Nothing is enough
1637,Till they handle love
1638,Let's do it tonight
1639,I want you tonight
1640,I want you to stay
1641,I want you tonight
1642,"Grab somebody sexy, tell 'em hey"
1643,Give me everything tonight
1644,Give me everything tonight
1645,Give me everything tonight
1646,Give me everything tonight
1647,Take advantage of tonight
1648,'Cause tomorrow I'm off to Dubai to perform for a princess
1649,"But tonight, I can make you my queen"
1650,And make love to you endless
1651,This is insane: the way the name growin'
1652,"Money keep flowin', hustlers move aside"
1653,"So, I'm tiptoein', to keep flowin'"
1654,I got it locked up like Lindsay Lohan
1655,"Put it on my life, baby"
1656,"I'll make you feel right, baby"
1657,"Can't promise tomorrow, but I promise tonight"
1658,Excuse me
1659,And I might drink a little more than I should tonight
1660,And I might take you home with me if I could tonight
1661,"And baby, I'ma make you feel so good, tonight"
1662,'Cause we might not get tomorrow
1663,"Tonight, I want all of you tonight"
1664,Give me everything tonight
1665,"For all we know, we might not get tomorrow"
1666,Let's do it tonight
1667,Don't care what they say
1668,Or what games they play
1669,Nothing is enough
1670,Till they handle love
1671,Let's do it tonight
1672,I want you tonight
1673,I want you to stay
1674,I want you tonight
1675,"Grab somebody sexy, tell 'em hey"
1676,Give me everything tonight
1677,Give me everything tonight
1678,Give me everything tonight
1679,Give me everything tonight
1680,"Reach for the stars, and if you don't grab them"
1681,At least you'll fall on top of the world
1682,"Think about it, 'cause if you slip, I'm gon' fall on top your girl, haha"
1683,"What I'm involved with is deeper than the Masons, baby"
1684,"Baby, and it ain't no secret"
1685,"My granny's from Cuba, but I'm an American Idol"
1686,Gettin' money like Seacrest
1687,"Put it on my life, baby"
1688,"I'll make you feel right, baby"
1689,"Can't promise tomorrow, but I promise tonight"
1690,Excuse me
1691,And I might drink a little more than I should tonight
1692,And I might take you home with me if I could tonight
1693,"And, baby, I'ma make you feel so good, tonight"
1694,'Cause we might not get tomorrow
1695,"Tonight, I want all of you tonight"
1696,Give me everything tonight
1697,"For all we know, we might not get tomorrow"
1698,Let's do it tonight
1699,Don't care what they say
1700,All the games they play
1701,Nothing is enough
1702,Till they handle love
1703,Let's do it tonight
1704,I want you tonight
1705,I want you to stay
1706,I want you tonight
1707,"Grab somebody sexy, tell 'em hey"
1708,Give me everything tonight
1709,Give me everything tonight
1710,Give me everything tonight
1711,Give me everything tonight
1712,Excuse me
1713,But I might drink a little bit more than I should tonight
1714,And I might take you home with me if I could tonight
1715,And I think you should let me 'cause I look good tonight
1716,'Cause we might not get tomorrow
1717,I'm here like for one night
1718,So we don't gotta waste time
1719,I know that you feel it
1720,My hands upon your waistline
1721,"So won't you, come closer"
1722,Let me know you're all mine
1723,Let me know you're all mine
1724,And I might stay tonight
1725,But not for long
1726,And I might say goodbye
1727,"Right now, yeah baby, right now"
1728,I need you
1729,"Hey mama, hey mama, hey mama, hey ma'"
1730,I need you
1731,"Hey mama, hey mama, hey mama, hey ma'"
1732,"Girl, it's getting hotter"
1733,I can't take much more
1734,I need you
1735,"Hey mama, hey mama, hey mama, hey ma'"
1736,I need you
1737,"I am what they wanna be, check the stats"
1738,"James Bond in the flesh, girl, that's a fact"
1739,"I was raised by OGs, so I'm lowkey"
1740,"I’m what you need in your life, baby believe me"
1741,"I'm a freak that can eat, that can beat"
1742,That can treat you like that queen
1743,That you was meant to be
1744,"I'm the good, I'm that raw, slick on the dong"
1745,"With nothing to something, to had it all"
1746,"Now, mami, just watch, learn and listen"
1747,I've got a feeling so good she stay switchin'
1748,"But before I banish, she spoke Spanish"
1749,"She said: ""Papito rico, te necesito"""
1750,I might stay tonight
1751,But not for long
1752,And I might say goodbye
1753,"But right now, yeah baby, right now"
1754,I need you
1755,"Hey mama, hey mama, hey mama, hey ma'"
1756,I need you
1757,"Hey mama, hey mama, hey mama, hey ma'"
1758,"Girl, it's getting hotter"
1759,I can't take much more
1760,I need you
1761,"Hey mama, hey mama, hey mama, hey ma'"
1762,I need you
1763,I need you
1764,If you touch me right
1765,I might stay the night
1766,"Oh, we can take our time"
1767,"I know we gotta say goodbye,"
1768,"I know we gotta say goodbye,"
1769,"No, no, no, no, no, no"
1770,I need you
1771,"Hey mama, hey mama, hey mama, hey ma'"
1772,I need you
1773,"Hey mama, hey mama, hey mama, hey ma'"
1774,"Girl, it's getting hotter"
1775,I can't take much more
1776,I need you
1777,"Hey mama, hey mama, hey mama, hey ma'"
1778,I need you
1779,I need you
1780,"I need you, hey!"
1781,"Pa' mi gente latina, stand up!"
1782,Cuba!
1783,I need you
1784,"Ask for money, and get advice"
1785,"Ask for advice, get money twice"
1786,"I'm from the dirty, but that chico nice"
1787,"Y'all call it a moment, I call it life"
1788,One day when the light is glowin'
1789,I’ll be in my castle golden
1790,But until the gates are open
1791,I just wanna feel this moment
1792,"Whoa-oh, I just wanna feel this moment"
1793,"Whoa-oh, I just wanna feel this moment"
1794,]
1795,Mr. Worldwide
1796,Christina Aguilera
1797,"Oye, mamita, come on!"
1798,"Dalé, que la cosa está rica"
1799,Woo!
1800,Feel this moment!
1801,Reporting live from the tallest building in Tokyo
1802,Long ways from them hard ways
1803,Bills and Os and oh-yays
1804,"Dade County always, 305 all day"
1805,"Now, baby, we can parlay or, baby, we can party"
1806,"She read books, especially about red rooms and tie-ups"
1807,"I got it hooked, ‘cause she seen me in a suit with the red tie tied up"
1808,"Christian Gris, nice to meet ya"
1809,"But time is money, only difference is I own it"
1810,Now let's stop time and enjoy this moment
1811,]
1812,One day when the light is glowin'
1813,I’ll be in my castle golden
1814,But until the gates are open
1815,I just wanna feel this moment
1816,"Whoa-oh , I just wanna feel this moment"
1817,"Whoa-oh , I just wanna feel this moment"
1818,Woo!
1819,"Come on, feel this moment!"
1820,I see the future but live for the moment
1821,"Make sense, don't it? Hah"
1822,"Now make dollars, I mean billions"
1823,"I'm a genius, I mean brilliant"
1824,This street is what schooled him
1825,And made him slicker than Slick Rick the Ruler
1826,I've lost a lot and learned a lot
1827,But I'm still undefeated like Shula
1828,I'm far from cheap
1829,I break down companies with all my peeps
1830,"Baby, we can travel the world"
1831,And what I can give you is all you can see
1832,"Time is money, only difference is I own it"
1833,"Like a stopwatch, let's stop time and enjoy this moment, dalé"
1834,]
1835,One day when the light is glowin'
1836,I’ll be in my castle golden
1837,But until the gates are open
1838,I just wanna feel this moment
1839,"Whoa-oh , I just wanna feel this moment"
1840,"Whoa-oh, I just wanna feel this moment"
1841,"Whoa-oh, I just wanna feel this moment"
1842,"Whoa-oh, I just wanna feel this moment"
1843,Put your flags up in the sky
1844,And then wave 'em side to side
1845,Show the world where you're from
1846,Show the world we are one
1847,Ole ole ole ola
1848,Ole ole ole ola
1849,Ole ole ole ola
1850,Ole ole ole ola
1851,When the going gets tough
1852,The tough keep going
1853,"One love, one life, one world, one fight"
1854,"Whole world, one night, one place, Brazil"
1855,Everybody put your flags in the sky and do what you feel
1856,"It's your world, my world, our world today"
1857,"And we invite the whole world, whole world to play"
1858,"It's your world, my world, our world today"
1859,"And we invite the whole world, whole world to play"
1860,"Es mi mundo, tu mundo, el mundo de nosotros"
1861,Invitamos a todo el mundo a jugar con nosotros
1862,Put your flags up in the sky
1863,And then wave 'em side to side
1864,Show the world where you're from
1865,Show the world we are one
1866,Ole ole ole ola
1867,Ole ole ole ola
1868,Ole ole ole ola
1869,Ole ole ole ola
1870,"Jenni, dale!"
1871,"One night, watch the world unite"
1872,"Two sides, one fight, and a million eyes"
1873,Full heart's gonna work so hard
1874,"Shoot, fall, the stars, fists raised up towards the sky"
1875,"Tonight watch the world unite, world unite, world unite"
1876,"For the fight, fight, fight, one night, watch the world unite"
1877,"Two sides, one fight and a million eyes"
1878,"Hey, hey, hey, força, força come on sing with me"
1879,"Hey, hey, hey, allez, allez come shout it out with me"
1880,"Hey, hey, hey, come on now"
1881,"Hey, hey, hey, come on now"
1882,"Hey, hey, hey, hey, hey"
1883,Put your flags up in the sky
1884,And then wave 'em side to side
1885,Show the world where you're from
1886,Show the world we are one
1887,Ole ole ole ola
1888,Ole ole ole ola
1889,Ole ole ole ola
1890,Ole ole ole ola
1891,"Claudia Leitte, obrigado"
1892,"É meu, é seu"
1893,Hoje é tudo nosso
1894,Quando eu chamo o mundo inteiro pra jogar é pra mostrar que eu posso
1895,"Torcer, chorar, sorrir, gritar"
1896,"Não importa o resultado, vamos extravasar"
1897,Put your flags up in the sky
1898,And then wave 'em side to side
1899,Show the world where you're from
1900,Show the world we are one
1901,Ole ole ole ola
1902,Ole ole ole ola
1903,Ole ole ole ola
1904,Ole ole ole ola
1905,Brasil!
1906,]
1907,DJ
1908,I want everybody to stop what they doin'
1909,Now if you know you're with somebody
1910,That you're gonna take the hotel room tonight
1911,Make some noise
1912,Meet me at the hotel room
1913,Meet me at the hotel room
1914,Meet me at the hotel room
1915,Meet me at the hotel room
1916,Forget about your boyfriend
1917,And meet me at the hotel room
1918,You can bring your girlfriends
1919,And meet me at the hotel room
1920,Forget about your boyfriend
1921,And meet me at the hotel room
1922,You can bring your girlfriends
1923,And meet me at the hotel room
1924,"We at the hotel, motel, Holiday Inn"
1925,"We at the hotel, motel, Holiday Inn"
1926,"We at the hotel, motel, Holiday Inn"
1927,"We at the hotel, motel, Holiday Inn"
1928,She like that freaky stuff
1929,"Two in the ""o"", and one in the eye"
1930,"That kinky stuff, you nasty"
1931,But I like your type
1932,"And like T.I., it's whatever you like"
1933,"Bring your girls, just whatever the night"
1934,"Your man just left, I'm the plumber tonight"
1935,"I'll check yo pipes, oh, you the healthy type"
1936,"Well, here goes some egg whites"
1937,Now gimme that sweet
1938,"That nasty, that Gucci stuff"
1939,Let me tell you what we gon' do
1940,"Two plus two, I'm gon' undress you"
1941,Then we're gonna go three and three
1942,You gon' undress me
1943,Then we're gonna go four and four
1944,"We gon' freak some more, but first"
1945,Forget about your boyfriend
1946,And meet me at the hotel room
1947,You can bring your girlfriends
1948,And meet me at the hotel room
1949,Forget about your boyfriend
1950,And meet me at the hotel room
1951,You can bring your girlfriends
1952,And meet me at the hotel room
1953,"We at the hotel, motel, Holiday Inn"
1954,"We at the hotel, motel, Holiday Inn"
1955,"We at the hotel, motel, Holiday Inn"
1956,"We at the hotel, motel, Holiday Inn"
1957,Afterparty in hotel lobby
1958,"Then we off to the room, like vroom"
1959,"Put them fingers in you mouth, or open up you blouse"
1960,And pull that g-string down south
1961,"Ooh, okay shawty, one's company"
1962,"Two's a crowd, and three's a party"
1963,"Your girl ain't with it, I got somebody"
1964,"And by nature, she's naughty"
1965,Now gimme that sweet
1966,"That nasty, that Gucci stuff"
1967,Let me tell you what we gon' do
1968,"Two plus two, I'm gon' undress you"
1969,Then we're gonna go three and three
1970,You gon' undress me
1971,Then we're gonna go four and four
1972,"We gon' freak some more, but first"
1973,Forget about your boyfriend
1974,And meet me at the hotel room
1975,You can bring your girlfriends
1976,And meet me at the hotel room
1977,Forget about your boyfriend
1978,And meet me at the hotel room
1979,You can bring your girlfriends
1980,And meet me at the hotel room
1981,"We at the hotel, motel, Holiday Inn"
1982,"We at the hotel, motel, Holiday Inn"
1983,"We at the hotel, motel, Holiday Inn"
1984,"We at the hotel, motel, Holiday Inn"
1985,Mujeres
1986,"Jenny, oye que bola"
1987,Mujeres
1988,"Yamile, oye que bola"
1989,Mujeres
1990,"Roslin, oye que bola"
1991,Mujeres
1992,"Zulema, oye que bola"
1993,Mujeres
1994,"Christina, oye que bola"
1995,Mujeres
1996,"Carolina, oye que bola"
1997,Mujeres
1998,"Sofia, oye que bola"
1999,Mujeres
2000,"Stefany, oye que bola"
2001,"Dale, dale, dale..."
2002,Mr. Worldwide
2003,"With the beautiful, sexy, sophisticated Fifth Harmony"
2004,I already seen mama need a TLC
2005,And I ain't too proud to beg just like TLC
2006,"I got a good head on my shoulders, if you know what I mean"
2007,"That's when I called her over and told her ""Mami, ven aquí"""
2008,"¿De dónde eres, cuál es tu nombre?"
2009,"¿Tienes novia, o buscas hombre?"
2010,"Por favor, disculpa todas las preguntas"
2011,"Que lo único que quiero es un besito en la punta, pretty, please"
2012,"Please, vas a tener que esperar"
2013,"Please, si lo quieres tonight"
2014,Lo que quieras si me dices por favor
2015,Lo hago todo si me dices por favor
2016,"De la forma en que lo dices, díme más"
2017,Haz lo que quieras si me dices por favor
2018,"Ella me dijo ""Número uno, mi nombre es Johanna"""
2019,¿Y de qué punta tú hablas? Punta Cana
2020,"No mama, de la punta de mi nariz"
2021,"Yo me pillo un french kiss, en la punta de París"
2022,"Estoy loco, y un poco suelto"
2023,"Coco quemao', y un poco fresco"
2024,Pero dame un besito en la punta
2025,"Por favor, mami, me lo merezco, pretty, please"
2026,"Please, vas a tener que esperar"
2027,"Please, si lo quieres tonight"
2028,Lo que quieras si me dices por favor
2029,Lo hago todo si me dices por favor
2030,"De la forma en que lo dices, díme más"
2031,Haz lo que quieras si me dices por favor
2032,]
2033,"Mami, dame eso, sexy"
2034,"Mami, dame besos, rico"
2035,"Mami, dame eso, sexy"
2036,"Mami, dame besos, rico"
2037,"Mami, dame eso, sexy"
2038,"Mami, dame besos, rico"
2039,"Mami, dame eso, sexy"
2040,"Mami, dame besos, rico"
2041,"Please, vas a tener que esperar"
2042,"Please, solo quieres sanar"
2043,Lo que quieras si me dices por favor
2044,Lo hago todo si me dices por favor
2045,"De la forma en que lo dices, díme más"
2046,Haz lo que quieras si me dices por favor
2047,Lo que quieras si me dices por favor
2048,Lo hago todo si me dices por favor
2049,"De la forma en que lo dices, díme más"
2050,Haz lo que quieras si me dices por favor
2051,"Ven mamita, pa' dártelo"
2052,"Despacito, suavecito, rico"
2053,Como arroz con huevo frito
2054,Por favor
2055,"Went from Mr. 305, , to Mr. Worldwide"
2056,"Ayy, ayy"
2057,"Now we're International, so international, international, so international"
2058,"Oh, yeah"
2059,"You can't catch me, boy"
2060,I'm overseas and about a hundred G's per show
2061,"Don't test me, boy"
2062,'Cause I rap with the best for sure
2063,"305 'til the death of me, cremate my body and let the ocean have what's left of me"
2064,"But for now, forget about that"
2065,"Blow the whistle, baby, you're the referee, dalé"
2066,"You put it down like New York City, I never sleep"
2067,"Wild like Los Angeles, my fantasy"
2068,"Hotter than Miami, I-I-I feel the heat"
2069,"Oh, girl, it's, it's international love, oh, oh, oh, yeah, it's international love"
2070,"I don’t play football, but I've touched down everywhere"
2071,"I don’t play baseball, but I've hit a home run everywhere"
2072,I've been to countries and cities I can’t pronounce and the places on the globe I didn't know existed
2073,"In Romania, she pulled me to the side and told me, ""Pit, you can have me and my sister"""
2074,"In Lebanon, yeah, the women are bomb"
2075,"And in Greece, you've guessed it the women are sweet"
2076,"Been all around the world, but I ain't gon' lie"
2077,There's nothing like Miami’s heat
2078,"You put it down like New York City, I never sleep"
2079,"Wild like Los Angeles, my fantasy"
2080,"Hotter than Miami, I-I-I feel the heat"
2081,"Oh, girl, it's, it's international love, oh, oh, oh, yeah, it's international love"
2082,Down in DR they looking for visas
2083,"I ain't talking credit cards, if you know what I mean"
2084,"En Cuba, la cosa esta dura, but the women get down, if you know what I mean"
2085,"In Columbia the women got everything done, but they some of the most beautiful women I've ever seen"
2086,"In Brazil, they freaky with big ol' boobs and they thongs, blue yellow and green"
2087,"En L.A., tengo la Mexicana"
2088,"En New York, tengo la boricua"
2089,"Besitos para todas las mujeres en Venezuela, muah"
2090,Y en Miami tengo a cualquiera
2091,"You put it down like New York City, hey, I never sleep"
2092,"Wild like Los Angeles , my fantasy"
2093,"Hotter than Miami , I-I-I feel the heat"
2094,"Oh, it's international love, oh, oh, oh, yeah, it's international love"
2095,"There’s not a place that your love don’t affect me, baby"
2096,So don’t ever change
2097,"I crossed the globe when I'm with you, baby"
2098,"Hey, oh, whoa"
2099,"Chris Brown, this for the women worldwide, lets ride"
2100,"You put it down like New York City, I never sleep"
2101,"Wild like Los Angeles, my fantasy"
2102,"Hotter than Miami , I-I-I feel the heat"
2103,"Oh, yeah, it's international love, oh, oh, oh, yeah, it's international love"
2104,"You put it down like  New York City, I never sleep"
2105,"Wild like Los Angeles , my fantasy"
2106,"Hotter than Miami, I-I-I feel the heat, oh, yeah"
2107,"Oh, oh, it's international love, oh, oh, oh, it's international love"
2108,]
2109,"Oh, oh, oh"
2110,"Oh, oh, oh"
2111,"Oh, oh, oh"
2112,"Oh, oh, oh"
2113,"Whoa, whoa, whoa, whoa"
2114,International love
2115,"Whoa, whoa, whoa, whoa"
2116,International love
2117,I knew my rent was gon' be late about a week ago
2118,"I worked my ass off, but I still can't pay it though"
2119,But I got just enough
2120,To get off in this club
2121,"Have me a good time, before my time is up"
2122,"Hey, let's get it now"
2123,Oooh!!  I want the time of my life
2124,"Oh baby, ooh..."
2125,Give me the time of my life
2126,"Eh, eh, eh"
2127,Let's get it now
2128,Mr. Worldwide
2129,Ne-yo
2130,This is the last $20 I got
2131,But I'mma have a good time ballin' or out
2132,"Tell the bartender, line up some shots"
2133,Cause I'mma get loose tonight
2134,"She's on fire, she's so hot"
2135,"I'm no liar, she burn up the spot"
2136,"Look like Mariah, I took another shot"
2137,"Told her drop, drop, drop, drop it like it's hot"
2138,"Dirty talk, dirty dance"
2139,She a freaky girl and I'm a freaky man
2140,"She on the rebound, broke up with her ex"
2141,"And I'm like Rodman, ready on deck"
2142,"I told her, ""Wanna ride out?"", and she said yes"
2143,"We didn't go to church, but I got blessed"
2144,I knew my rent was gon' be late about a week ago
2145,"I worked my ass off, but I still can't pay it though"
2146,But I got just enough
2147,To get off in this club
2148,"Have me a good time, before my time is up"
2149,"Hey, let's get it now"
2150,Oooh!!  I want the time of my life
2151,Oh baby ooh give me the time of my life
2152,"Eh, eh, eh"
2153,Let's get it now
2154,Tonight I'mma lose my mind
2155,Better get yours cause I'm gonna get mine
2156,"Party every night, like my last"
2157,"Mami know the drill, shake that ass"
2158,Go ahead baby let me see what you got
2159,You know you got the biggest booty in this spot
2160,And I just wanna see that thing drop
2161,From the back to the front to the top
2162,You know me I'm off in the cut
2163,"Always like a squirrel, looking for a nut"
2164,This isn't for show I'm not talking 'bout luck
2165,"I'm not talking 'bout love, I'm talking 'bout lust"
2166,"Now let's get loose, have some fun"
2167,Forget about bills and the first of the month
2168,"It's my night, your night, our night, let's turn it up"
2169,I knew my rent was gon' be late about a week ago
2170,"I worked my ass off, but I still can't pay it though"
2171,But I got just enough
2172,To get off in this club
2173,"Have me a good time, before my time is up"
2174,"Hey, let's get it now"
2175,Oooh!!  I want the time of my life
2176,Oh baby ooh give me the time of my life
2177,"Eh, eh, eh"
2178,Let's get it now
2179,Everybody goin' through something
2180,"I said, everybody goin' through something"
2181,So you might as well you roll it up
2182,"Pour it up, drink it up, throw it up tonight"
2183,"I said, everybody goin' through something"
2184,"Said, everybody goin' through something"
2185,So you might as well you roll it up
2186,"Pour it up, drink it up, throw it up tonight, yeah..."
2187,This for everybody going through tough times
2188,"Believe me, been there, done that"
2189,"But every day above ground is a great day, remember that—Dali!"
2190,I knew my rent was gon' be late about a week ago
2191,"I worked my ass off, but I still can't pay it though"
2192,But I got just enough
2193,To get off in this club
2194,"Have me a good time, before my time is up"
2195,"Hey, let's get it now"
2196,Oooh!!  I want the time of my life
2197,Oh baby ooh give me the time of my life
2198,Let's get it now
2199,Haha
2200,It's Mr. 305 checkin' in for the remix
2201,You know that is 75 Street Brazil?
2202,Well this here is gon' be called Calle Ocho
2203,Hahahaha
2204,"¿Qué bola Cata, qué bola Omega?"
2205,"And this how we gon' do it, dale"
2206,"One, two, three, four"
2207,"Uno, do', tres, cuatro"
2208,I know you want me
2209,You know I want ya
2210,I know you want me
2211,You know I want ya
2212,I know you want me
2213,You know I want ya
2214,I know you want me
2215,You know I want ya
2216,"One, two, three, four"
2217,"Uno, do', tres, cuatro"
2218,Rumba
2219,Ella quiere su rumba
2220,Rumba
2221,Ella quiere su rumba
2222,Si e' verdad que tú ere' guapa
2223,Yo te voy a poner gozar
2224,Tú tienes la boca grande
2225,Dale ponte a jugar
2226,"One, two, three, four"
2227,"Uno, do', tres, cuatro"
2228,"Tick to the tock, on my way to the top, huh"
2229,"Pit got it locked from goons to the locks, yuh"
2230,"R.I.P., uh, BIG and Pac"
2231,"That he's not, but damn he's hot"
2232,Label flop but Pit won't stop
2233,Got her in the cockpit playin' with Pit's
2234,"Now watch me make a movie like Albert Hitchcock, haha"
2235,I know you want me
2236,You know I want ya
2237,I know you want me
2238,You know I want ya
2239,I know you want me
2240,You know I want ya
2241,I know you want me
2242,You know I want ya
2243,"One, two, three, four"
2244,"Uno, do', tres, cuatro"
2245,Rumba
2246,Ella quiere su rumba
2247,Rumba
2248,Ella quiere su rumba
2249,Si e' verdad que tú ere' guapa
2250,Yo te voy a poner gozar
2251,Tú tienes la boca grande
2252,Dale ponte a jugar
2253,"One, two, three, four"
2254,"Uno, do', tres, cuatro"
2255,"Mami got an ass like a donkey, with a monkey"
2256,Look like King Kong
2257,"Welcome to the crib, 305, that's what it is"
2258,With a woman down here ya
2259,They don't play games
2260,"They off the chain, and they love to do"
2261,"Everythang and anythang, anythang"
2262,"And they love to get it in, get it on"
2263,All night long
2264,I know you want me
2265,You know I want ya
2266,I know you want me
2267,You know I want ya
2268,I know you want me
2269,You know I want ya
2270,I know you want me
2271,You know I want ya
2272,"One, two, three, four"
2273,"Uno, do', tres, cuatro"
2274,Rumba
2275,Ella quiere su rumba
2276,Rumba
2277,Ella quiere su rumba
2278,Si e' verdad que tú ere' guapa
2279,Yo te voy a poner gozar
2280,Tú tienes la boca grande
2281,Dale ponte a jugar
2282,"One, two, three, four"
2283,"Uno, do', tres, cuatro"
2284,"Baby, you can get it, if you with it, we can play"
2285,"Baby, I got cribs, I got condos we can stay"
2286,Even got a king-size mattress we can lay
2287,"Baby, I don't care, I don't care, what they say, 'cause"
2288,I know you want me
2289,You know I want ya
2290,I know you want me
2291,You know I want ya
2292,I know you want me
2293,You know I want ya
2294,I know you want me
2295,You know I want ya
2296,"One, two, three, four"
2297,"Uno, do', tres, cuatro"
2298,Rumba
2299,Ella quiere su rumba
2300,Rumba
2301,Ella quiere su rumba
2302,Si e' verdad que tú ere' guapa
2303,Yo te voy a poner gozar
2304,Tú tienes la boca grande
2305,Dale ponte a jugar
2306,"One, two, three, four"
2307,"Uno, do', tres, cuatro"
2308,"Girl, my body don't lie"
2309,I'm out of my mind
2310,Let it rain over me
2311,I'm rising so high
2312,Out of my mind
2313,So let it rain over me
2314,"Ay-ay-ay, ay-ay-ay"
2315,Let it rain over me
2316,"Ay-ay-ay, ay-ay-ay"
2317,Let it rain over me
2318,A billion is a new million
2319,Voli's a new vodka
2320,Forty's the new 30
2321,"Baby, you're a rockstar"
2322,"Dale veterana, que tú sabe"
2323,"Más de la cuenta, no te hagas"
2324,"Teach me, baby, or better yet"
2325,"Freak me, baby, yes, yes"
2326,"I'm freaky, baby"
2327,"I'ma make sure that your peach feels peachy, baby"
2328,"No bullshit broads, I like my women sexy, classy, sassy"
2329,"Powerful yes , they love to get a little bit nasty, ow"
2330,This ain't a game you'll see
2331,You can put the blame on me
2332,"Dale muñequita, abre ahí and let it rain over me"
2333,"Girl, my body don't lie"
2334,I'm out of my mind
2335,Let it rain over me
2336,I'm rising so high
2337,Out of my mind
2338,So let it rain over me
2339,"Ay-ay-ay, ay-ay-ay"
2340,Let it rain over me
2341,"Ay-ay-ay, ay-ay-ay"
2342,Let it rain over me
2343,A billion is a new million
2344,Voli's a new vodka
2345,"Latin is the new majority, ya tú sabe"
2346,"Next step, la Casa Blanca"
2347,"No hay carro, no vamo' en balsa"
2348,"Mami, you know the drill"
2349,They won't know what I got 'til they read the will
2350,"I ain't tryin', I ain't trying to keep it real"
2351,I'm trying to keep wealthy and that's for real
2352,"Pero mira que tú 'tás buena , y mira que tú 'tás dura"
2353,"Baby, no me hables más , y tíramelo mami chula"
2354,No games you'll see
2355,You can put the blame on me
2356,"Dale muñequita, abre ahí and let it rain over me"
2357,"Girl, my body don't lie"
2358,I'm out of my mind
2359,Let it rain over me
2360,I'm rising so high
2361,Out of my mind
2362,So let it rain over me
2363,"Ay-ay-ay, ay-ay-ay"
2364,Let it rain over me
2365,"Ay-ay-ay, ay-ay-ay"
2366,Let it rain over me
2367,"Mr. Worldwide, Marc Anthony, tú sabe"
2368,"I was playing with her , she was playing with me"
2369,"Next thing you know , we were playing with three"
2370,"Oh-oh-oh-oh-oh-oh, oh-oh-oh-oh-oh-oh"
2371,"I was playing with her , she was playing with me"
2372,"Next thing you know , we were playing with three"
2373,"Oh-oh-oh-oh-oh-oh, oh-oh-oh-oh-oh-oh"
2374,Rain over me
2375,"Girl, my body don't lie"
2376,I'm out of my mind
2377,Let it rain over me
2378,I'm rising so high
2379,Out of my mind
2380,So let it rain over me
2381,"Ay-ay-ay, ay-ay-ay"
2382,Let it rain over me
2383,"Ay-ay-ay, ay-ay-ay"
2384,Let it rain over me
2385,"Ay-ay-ay, ay-ay-ay"
2386,Let it rain over me
